created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,token,positif,negatif,sentiment_score,sentiment
Sat Jan 30 18:42:49 +0000 2021,1355587286713286657,mudah atur keuangankehidupan jenius unduh aplikasi jenius coonnflryyb masuk cashtag dyckha kolom referral,0,0,0,0,in,1100973316339249152,1355587286713286657,skycellofficial,https://twitter.com/skycellofficial/status/1355587286713286657,"['mudah', 'atur', 'keuangankehidupan', 'jenius', 'unduh', 'aplikasi', 'jenius', 'coonnflryyb', 'masuk', 'cashtag', 'dyckha', 'kolom', 'referral']",3,0,3,Positif
Sat Jan 30 14:15:06 +0000 2021,1355519915113889794,tunggu menit aplikasi keload jenius cotrbymhae,0,1,0,0,in,897735967,1355519915113889794,deeprwby,https://twitter.com/deeprwby/status/1355519915113889794,"['tunggu', 'menit', 'aplikasi', 'keload', 'jenius', 'cotrbymhae']",1,0,1,Positif
Sat Jan 30 11:30:50 +0000 2021,1355478574359171076,admin restart device force stop aplikasi reinstalluninstall tidak bisa kendala jenius handphone browser laptop tidak bisa akses,0,1,0,0,in,944896032,1355461234871549952,xxElHabshixx,https://twitter.com/xxElHabshixx/status/1355478574359171076,"['admin', 'restart', 'device', 'force', 'stop', 'aplikasi', 'reinstalluninstall', 'tidak bisa', 'kendala', 'jenius', 'handphone', 'browser', 'laptop', 'tidak bisa', 'akses']",1,3,-2,Negatif
Sat Jan 30 10:21:56 +0000 2021,1355461234871549952,halo admin aplikasi jenius handphone tidak bisa loading cek saldo transaksi tidak bisa handphone iphone ios,0,1,0,0,in,944896032,1355461234871549952,xxElHabshixx,https://twitter.com/xxElHabshixx/status/1355461234871549952,"['halo', 'admin', 'aplikasi', 'jenius', 'handphone', 'tidak bisa', 'loading', 'cek', 'saldo', 'transaksi', 'tidak bisa', 'handphone', 'iphone', 'ios']",1,2,-1,Negatif
Sat Jan 30 09:30:46 +0000 2021,1355448357314064385,lupa password akunaplikasi jenius pilih lupa password jenius kirim notifikasi nomor handphone tidak saya kenal tolong bantu,0,1,0,0,in,48014955,1355448357314064385,justHityou,https://twitter.com/justHityou/status/1355448357314064385,"['lupa', 'password', 'akunaplikasi', 'jenius', 'pilih', 'lupa', 'password', 'jenius', 'kirim', 'notifikasi', 'nomor', 'handphone', 'tidak saya', 'kenal', 'tolong', 'bantu']",2,2,0,Netral
Sat Jan 30 09:25:05 +0000 2021,1355446927492431878,mudah atur keuangankehidupan jenius unduh aplikasi jenius coufvixjfjkr masuk cashtag munierlicious kolom referral,0,0,0,0,in,90624644,1355446927492431878,munierlicious,https://twitter.com/munierlicious/status/1355446927492431878,"['mudah', 'atur', 'keuangankehidupan', 'jenius', 'unduh', 'aplikasi', 'jenius', 'coufvixjfjkr', 'masuk', 'cashtag', 'munierlicious', 'kolom', 'referral']",3,0,3,Positif
Sat Jan 30 02:16:26 +0000 2021,1355339056868036609,min face id error aplikasi enggak ada error face idnya jenius doang pakai iphonexsmax,0,1,0,0,in,56648520,1355339056868036609,srilokopolo,https://twitter.com/srilokopolo/status/1355339056868036609,"['min', 'face', 'id', 'error', 'aplikasi', 'enggak ada', 'error', 'face', 'idnya', 'jenius', 'doang', 'pakai', 'iphonexsmax']",1,0,1,Positif
Fri Jan 29 16:56:43 +0000 2021,1355198199577755651,halo jual aplikasi premium netflix spotify viu disney hotstar youtube we televisi iqiyi canva dan lain lain harga tera foto testimoni cek bio order dmwa cokuwmbbrxr qris dana ovo spay gopay jenius codarrcfw,0,0,49,6,in,1156125863621980160,1355198199577755651,daijoubov,https://twitter.com/daijoubov/status/1355198199577755651,"['halo', 'jual', 'aplikasi', 'premium', 'netflix', 'spotify', 'viu', 'disney', 'hotstar', 'youtube', 'we', 'televisi', 'iqiyi', 'canva', 'dan lain lain', 'harga', 'tera', 'foto', 'testimoni', 'cek', 'bio', 'order', 'dmwa', 'cokuwmbbrxr', 'qris', 'dana', 'ovo', 'spay', 'gopay', 'jenius', 'codarrcfw']",1,0,1,Positif
Fri Jan 29 09:31:21 +0000 2021,1355086120191582213,selamat sore bapakibu adu kait aplikasi jenius bapakibu hubung jenius help email jeniushelp com twitter chat langsung aplikasi terima kasih,0,0,0,1,in,2424890203,1355035372200337408,lifeatbtpn,https://twitter.com/lifeatbtpn/status/1355086120191582213,"['selamat', 'sore', 'bapakibu', 'adu', 'kait', 'aplikasi', 'jenius', 'bapakibu', 'hubung', 'jenius', 'help', 'email', 'jeniushelp', 'com', 'twitter', 'chat', 'langsung', 'aplikasi', 'terima', 'kasih']",3,0,3,Positif
Fri Jan 29 06:09:42 +0000 2021,1355035372200337408,min transfer via aplikasi dana jenius danamon gagal potong tks,0,1,0,0,in,1850848921,1355035372200337408,390Piyo,https://twitter.com/390Piyo/status/1355035372200337408,"['min', 'transfer', 'via', 'aplikasi', 'dana', 'jenius', 'danamon', 'gagal', 'potong', 'tks']",1,1,0,Netral
